MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_SRR29635775_bin.25	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculum	Thermoanaerobaculum aquaticum
Sg_SRR29635775_bin.4	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	UBA8517		
Sg_SRR29635775_bin.6	Bacteria	Chloroflexota	Dehalococcoidia	Tepidiformales	Tepidiformaceae	Tepidiforma	Tepidiforma bonchosmolovskayae
Sg_SRR29635775_bin.7	Bacteria	Bacillota_E	JACIYH01	JACIYH01	JACIYH01	JACIYH01	
Sg_SRR29635775_bin.8	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	UBA6910	Pelomicrobium	Pelomicrobium sp026005015
Sg_SRR29635775_bin.9	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Nap2-2B	JAIMBK01	
Sg_SRR29635776_bin.2	Bacteria	Pseudomonadota	Gammaproteobacteria	Halothiobacillales	Halothiobacillaceae	JARJMX02	
Sg_SRR29635776_bin.3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	
Sg_SRR29635776_bin.4	Bacteria	Patescibacteria	Microgenomatia	UBA10105	UBA927		
Sg_SRR29635778_bin.1	Bacteria	Acidobacteriota	UBA4820	UBA4820	DSQY01		
Sg_SRR29635778_bin.13	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	DYJK01	
Sg_SRR29635778_bin.2	Bacteria	UBA9089	CG2-30-40-21	CG2-30-40-21	SBAY01		
Sg_SRR29635778_bin.4	Bacteria	Patescibacteria	Microgenomatia	PFEM01			
Sg_SRR29635778_bin.5	Bacteria	UBA9089	UBA9088	UBA9088	UBA9088		
Sg_SRR29635778_bin.6	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	JAAYVI01	JAAYVI01 sp012517235
Sg_SRR29635778_bin.8	Bacteria	Patescibacteria	Microgenomatia	UBA1406	GWC2-37-13		
Sg_SRR29635778_bin.9	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	SM23-35		
Sg_SRR29635779_bin.10	Bacteria	Elusimicrobiota	UBA8919	UBA8919	UBA8919		
Sg_SRR29635779_bin.11	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	0-14-0-80-60-11	SURF-52	
Sg_SRR29635779_bin.13	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	Desulfarculaceae	SURF-10	
Sg_SRR29635779_bin.14	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
Sg_SRR29635779_bin.17	Bacteria	UBA9089	CG2-30-40-21	CG2-30-40-21	SBAY01		
Sg_SRR29635779_bin.18	Bacteria	Bacillota_E	JACIYH01	JACIYH01	JACIYH01	JACIYH01	JACIYH01 sp030019365
Sg_SRR29635779_bin.19	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus sp021811235
Sg_SRR29635779_bin.2	Bacteria	Chloroflexota	Anaerolineae	UBA4142	UBA4142	VGOB01	
Sg_SRR29635779_bin.20	Bacteria	Patescibacteria	Paceibacteria	CAIUEV01	CAIUEV01		
Sg_SRR29635779_bin.21	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae	UBA5796	
Sg_SRR29635779_bin.22	Bacteria	Fibrobacterota	OXYB2-FULL-49-7				
Sg_SRR29635779_bin.23	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	
Sg_SRR29635779_bin.25	Bacteria	Desulfobacterota	QYQD01	QYQD01	QYQD01	QYQD01	
Sg_SRR29635779_bin.26	Bacteria	Desulfobacterota	Desulfomonilia	Desulfomonilales	Desulfomonilaceae	VGSG01	
Sg_SRR29635779_bin.27	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae		
Sg_SRR29635779_bin.29	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37		
Sg_SRR29635779_bin.3	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	SM23-35		
Sg_SRR29635779_bin.30	Bacteria	Zixibacteria	MSB-5A5	GN15	PGXB01	DYGG01	
Sg_SRR29635779_bin.31	Bacteria	Elusimicrobiota	Endomicrobiia	CG1-02-37-114			
Sg_SRR29635779_bin.32	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosudaceae		
Sg_SRR29635779_bin.33	Bacteria	UBA10199	UBA10199	2-02-FULL-44-16	JAAZCA01	JAFGMW01	
Sg_SRR29635779_bin.35	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA4823	RBG-16-57-11	RBG-16-57-11 sp020060465
Sg_SRR29635779_bin.37	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	
Sg_SRR29635779_bin.38	Bacteria	Planctomycetota	Phycisphaerae	UBA1845	Fen-1342	JAGVEP01	
Sg_SRR29635779_bin.39	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	UBA6814	
Sg_SRR29635779_bin.40	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae		
Sg_SRR29635779_bin.42	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Nap2-2B		
Sg_SRR29635779_bin.43	Bacteria	Patescibacteria	Microgenomatia	UBA1406	GWC2-37-13	GWC2-37-13	
Sg_SRR29635779_bin.44	Bacteria	Auribacterota	Auribacteria	Auribacterales	Auribacteraceae	Auribacter	Auribacter fodinae
Sg_SRR29635779_bin.45	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	DYJK01	
Sg_SRR29635779_bin.46	Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	Bipolaricaulis	Bipolaricaulis sp020062805
Sg_SRR29635779_bin.49	Bacteria	Edwardsbacteria	AC1				
