MAG,Domain,Phylum,Class,Order,Family,Genus,Species
Sg_CRR933412_bin.13,Bacteria,Bacillota,Bacilli_A,Acholeplasmatales,Acholeplasmataceae,Mariniplasma,Unassigned
Sg_CRR933412_bin.14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter profundi
Sg_CRR933412_bin.17,Bacteria,Bacillota,Clostridia,Tissierellales,Tissierellaceae,JANKMX01,Unassigned
Sg_CRR933412_bin.19,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,Unassigned
Sg_CRR933412_bin.23,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,Celeribacter persicus
Sg_CRR933412_bin.25,Bacteria,Riflebacteria,Ozemobacteria,Ozemobacterales,Ozemobacteraceae,DYKG01,DYKG01 sp030446435
Sg_CRR933412_bin.26,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,UBA1877,UBA1877,Unassigned
Sg_CRR933412_bin.27,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Unassigned
Sg_CRR933412_bin.28,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Oleidesulfovibrio,Oleidesulfovibrio alaskensis
Sg_CRR933412_bin.29,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,DSM-6294,Thalassolituus,Unassigned
Sg_CRR933412_bin.32,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,Halarcobacter arenosus
Sg_CRR933412_bin.34,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio natriegens
Sg_CRR933412_bin.36,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Mariniphaga,Unassigned
Sg_CRR933412_bin.4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales_A,Thalassospiraceae,Thalassospira,Thalassospira xiamenensis
