"sample","Phylum","value","group","depth","group_depth","country","BioProject","dominant_phylum"
"SRR13427965","Others",9.363129529,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Patescibacteria",48.063651051,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Pseudomonadota",0.014206496,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Actinomycetota",0.008727045,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Bacillota",2.728513406,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Bacteroidota",1.33881843,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Campylobacterota",29.417661275,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Desulfobacterota",4.590134023,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Halobacteriota",6.135454104,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Methanobacteriota",0.143909323,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Omnitrophota",10.971051644,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Others",9.497605978,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Patescibacteria",33.942659855,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427966","Pseudomonadota",1.22546492,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Actinomycetota",0,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Bacillota",3.191426276,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Bacteroidota",1.45574202,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Campylobacterota",16.024845216,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Desulfobacterota",6.722087839,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Halobacteriota",10.409007527,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Methanobacteriota",0.055664439,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Omnitrophota",15.098769757,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Others",9.656737518,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Patescibacteria",36.362776215,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427967","Pseudomonadota",1.022943193,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427968","Actinomycetota",0,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Bacillota",2.68806294,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Bacteroidota",1.733710189,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Campylobacterota",44.435594528,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Desulfobacterota",7.922203748,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Halobacteriota",5.802804303,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Methanobacteriota",0.216855234,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Omnitrophota",17.2943454,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Others",11.492732217,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Patescibacteria",7.062659856,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427968","Pseudomonadota",1.351031593,"oil",850,"B","Canada","PRJNA691618","Campylobacterota"
"SRR13427969","Actinomycetota",0.017397929,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Bacillota",1.870635237,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Bacteroidota",1.90428966,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Campylobacterota",20.918204987,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Desulfobacterota",7.929856088,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Halobacteriota",3.787747949,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
